Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
1,RandomWalk,flat,temperate,medium,5,300000,0.10749587245097723,0.010317780099514789,23.0,2.838636933963288,300.0000000000005
1,Greedy,flat,temperate,medium,5,300000,0.2489629864311248,0.012170819680342754,65.0,7.6260663508399285,300.0000000000007
1,Spiral,flat,temperate,medium,5,300000,0.2764032264024489,0.008199666247056791,93.0,10.181000091427325,153.61823856611556
1,Concentric,flat,temperate,medium,5,300000,0.27744742233703723,0.008375849853804879,100.0,10.431351366554349,158.31540986329628
1,Pizza,flat,temperate,medium,5,300000,0.2775709606383369,0.010977160574711504,100.0,10.434630900816268,162.30760897707617
2,RandomWalk,flat,temperate,medium,5,300000,0.0930126287141934,0.007567415148802017,27.0,3.3058344975977803,300.00000000000017
2,Greedy,flat,temperate,medium,5,300000,0.17569098758685603,0.010128716065031114,66.0,7.147775974882595,300.0000000000004
2,Spiral,flat,temperate,medium,5,300000,0.21249246114717715,0.006000885109455903,99.0,10.18100009142705,153.61823856611545
2,Concentric,flat,temperate,medium,5,300000,0.21297549215941053,0.005886846230835256,100.0,10.431351366502788,158.31540986329605
2,Pizza,flat,temperate,medium,5,300000,0.21304427779976562,0.006740817361516542,100.0,10.434630900816671,162.3076089770763
3,RandomWalk,flat,temperate,medium,5,300000,0.09028319688593511,0.0046268431941918755,43.0,3.473178760213918,299.9999999999993
3,Greedy,flat,temperate,medium,5,300000,0.20560074985656296,0.008352533983422705,85.0,7.555021930428098,299.9999999999994
3,Spiral,flat,temperate,medium,5,300000,0.23906126223363147,0.005807689043249931,100.0,10.181000091427311,153.6182385661156
3,Concentric,flat,temperate,medium,5,300000,0.23932867686392326,0.005907179669688035,100.0,10.43135136655434,158.3154098632963
3,Pizza,flat,temperate,medium,5,300000,0.2395009957566807,0.007954674475866255,100.0,10.434630900816273,162.3076089770762
4,RandomWalk,flat,temperate,medium,5,300000,0.0978414427251498,0.004744369407557581,48.0,3.451939552570784,299.9999999999998
4,Greedy,flat,temperate,medium,5,300000,0.23652785201326296,0.007428669846835924,88.0,9.157397631781347,300.0000000000007
4,Spiral,flat,temperate,medium,5,300000,0.23738056131582355,0.0057292816819677255,99.0,10.181000091427068,153.61823856611545
4,Concentric,flat,temperate,medium,5,300000,0.23712552942891538,0.005693079556886836,100.0,10.431351366502815,158.31540986329608
4,Pizza,flat,temperate,medium,5,300000,0.23725948420459797,0.007171173237072049,100.0,10.434630900816662,162.3076089770763
5,RandomWalk,flat,temperate,medium,5,300000,0.11238027654583832,0.006128986233181578,38.0,4.096902295211085,299.9999999999998
5,Greedy,flat,temperate,medium,5,300000,0.22689844142293408,0.00855718843544944,88.0,8.704488349002812,299.99999999999903
5,Spiral,flat,temperate,medium,5,300000,0.24187942161193715,0.00578374181028535,97.0,10.181000091427325,153.61823856611556
5,Concentric,flat,temperate,medium,5,300000,0.24190631218736883,0.005709074460888701,100.0,10.431351366554349,158.31540986329628
5,Pizza,flat,temperate,medium,5,300000,0.24212198364708715,0.006752002614683077,100.0,10.434630900816268,162.30760897707617
6,RandomWalk,flat,temperate,medium,5,300000,0.08334493799817129,0.005718614117879331,28.999999999999996,2.917747978495299,299.9999999999998
